titulo,categoria,buscador,fecha,url,imagen,colorTexto,colorFondo,premiado,donde-premiado
Las 12 horas que desencadenaron el caos en Valencia y la alerta que llegó a las ocho de la tarde,SOCIEDAD,"Última hora,Narrativas",2024-10-30,https://www.elcorreo.com/sociedad/horas-desencadenaron-caos-valencia-alerta-llego-ocho-20241030205925-ntrc.html,,,,,
¿Lenguas cooficiales en el Congreso?,POLÍTICA,"Última hora,Narrativas",2023-08-22,https://www.elcorreo.com/politica/lenguas-cooficiales-congreso-habla-catalan-sabe-gallego-20230822000304-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2023/08/22/lenguascooficiales-1200X1200.jpg,,,,
Explicación visual | Cómo funciona el sistema eléctrico que colapsó con el apagón,ECONOMÍA,"Última hora,Narrativas",2025-05-04,https://www.elcorreo.com/economia/explicacion-visual-apagon-expuso-costuras-sistema-energetico-20250504000408-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2025/05/04/tuberias-840.jpg,,,,
«Un misil en el agua»: así son las narcolanchas que campan en el Mediterráneo,SUCESOS,"Última hora,Narrativas",2024-02-15,https://www.elcorreo.com/politica/misil-agua-narcolanchas-campan-mediterraneo-20240215124634-ntrc.html,,,#FFF,,
El rastro de los pélets del Toconao: del mar a la mesa,SOCIEDAD,"Última hora,Narrativas",2024-01-12,https://www.elcorreo.com/antropia/rastro-pelets-toconao-mar-mesa-20240112133921-ntrc.html,https://raw.githubusercontent.com/Saraibelled/images/main/fotolead-pellets-1200x840.jpeg,#fff,#0077C2,,
Así identifica la policía los cadáveres de Murcia: el protocolo de Los Rodeos,SUCESOS,"Última hora,Narrativas",2023-10-07,https://www.elcorreo.com/sociedad/identifica-policia-cadaveres-murcia-protocolo-tras-catastrofe-20231007170459-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2023/10/07/fotolead-1200x1200-k4rH--1200x1200@RC.jpg,,,,
Los secretos del narcotúnel que une España con Marruecos,SUCESOS,Narrativas,2025-05-26,https://www.elcorreo.com/politica/secretos-narcotunel-une-espana-marruecos-20250525000431-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2025/05/25/fotolead-tunel-1200x840-U23018644477533cD-1200x840@RC.jpg,,,,
Francisco creó al 80% de los cardenales que elegirán a su sucesor,SOCIEDAD,Narrativas,2025-04-23,https://www.elcorreo.com/sociedad/francisco-creo-cardenales-elegiran-sucesor-20250423003004-ntrc.html,,,,,
La guerra fría del té helado: qué ha pasado con Nestea y Fuze Tea,ECONOMÍA,Narrativas,2025-04-15,https://www.elcorreo.com/sociedad/guerra-fria-helado-pasado-nestea-fuze-tea-20250415065258-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2025/04/15/fotolead-1--366x256.jpg,,,,
Así ha cambiado la serpiente multicolor desde 2014,DEPORTES,Narrativas,2024-08-21,https://www.elcorreo.com/deportes/ciclismo/vuelta-espana/todos-maillots-vuelta-espana-serpiente-multicolor-20240821195836-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2024/08/21/foto-cicli-268x188-portada.gif,#fff,#666665,si,
